"name","type","class","exported","generic","args","package","Rversion"
"bkde","closure","function","TRUE","FALSE","(x, kernel = ""normal"", canonical = FALSE, bandwidth,     gridsize = 401, range.x, truncate = TRUE) ","KernSmooth","2.6.0"
"bkde2D","closure","function","TRUE","FALSE","(x, bandwidth, gridsize = c(51, 51), range.x, truncate = TRUE) ","KernSmooth","2.6.0"
"bkfe","closure","function","TRUE","FALSE","(x, drv, bandwidth, gridsize = 401, range.x, binned = FALSE,     truncate = TRUE) ","KernSmooth","2.6.0"
"dpih","closure","function","TRUE","FALSE","(x, scalest = ""minim"", level = 2, gridsize = 401, range.x = range(x),     truncate = TRUE) ","KernSmooth","2.6.0"
"dpik","closure","function","TRUE","FALSE","(x, scalest = ""minim"", level = 2, kernel = ""normal"",     canonical = FALSE, gridsize = 401, range.x = range(x), truncate = TRUE) ","KernSmooth","2.6.0"
"dpill","closure","function","TRUE","FALSE","(x, y, blockmax = 5, divisor = 20, trim = 0.01, proptrun = 0.05,     gridsize = 401, range.x = range(x), truncate = TRUE) ","KernSmooth","2.6.0"
"locpoly","closure","function","TRUE","FALSE","(x, y, drv = 0, degree, kernel = ""normal"", bandwidth,     gridsize = 401, bwdisc = 25, range.x, binned = FALSE, truncate = TRUE) ","KernSmooth","2.6.0"
"Aids2","list","data.frame","FALSE","FALSE","NA","MASS","2.6.0"
"Animals","list","data.frame","FALSE","FALSE","NA","MASS","2.6.0"
"Boston","list","data.frame","FALSE","FALSE","NA","MASS","2.6.0"
"Cars93","list","data.frame","FALSE","FALSE","NA","MASS","2.6.0"
"Cushings","list","data.frame","FALSE","FALSE","NA","MASS","2.6.0"
"DDT","double","numeric","FALSE","FALSE","NA","MASS","2.6.0"
"GAGurine","list","data.frame","FALSE","FALSE","NA","MASS","2.6.0"
"Insurance","list","data.frame","FALSE","FALSE","NA","MASS","2.6.0"
"Melanoma","list","data.frame","FALSE","FALSE","NA","MASS","2.6.0"
"Null","closure","function","TRUE","FALSE","(M) ","MASS","2.6.0"
"OME","list","data.frame","FALSE","FALSE","NA","MASS","2.6.0"
"Pima.te","list","data.frame","FALSE","FALSE","NA","MASS","2.6.0"
"Pima.tr","list","data.frame","FALSE","FALSE","NA","MASS","2.6.0"
"Pima.tr2","list","data.frame","FALSE","FALSE","NA","MASS","2.6.0"
"Rabbit","list","data.frame","FALSE","FALSE","NA","MASS","2.6.0"
"Rubber","list","data.frame","FALSE","FALSE","NA","MASS","2.6.0"
"SP500","double","numeric","FALSE","FALSE","NA","MASS","2.6.0"
"Shepard","closure","function","TRUE","FALSE","(d, x, p = 2) ","MASS","2.6.0"
"Sitka","list","data.frame","FALSE","FALSE","NA","MASS","2.6.0"
"Sitka89","list","data.frame","FALSE","FALSE","NA","MASS","2.6.0"
"Skye","list","data.frame","FALSE","FALSE","NA","MASS","2.6.0"
"Traffic","list","data.frame","FALSE","FALSE","NA","MASS","2.6.0"
"UScereal","list","data.frame","FALSE","FALSE","NA","MASS","2.6.0"
"UScrime","list","data.frame","FALSE","FALSE","NA","MASS","2.6.0"
"VA","list","data.frame","FALSE","FALSE","NA","MASS","2.6.0"
"abbey","double","numeric","FALSE","FALSE","NA","MASS","2.6.0"
"accdeaths","double","ts","FALSE","FALSE","NA","MASS","2.6.0"
"addterm","closure","function","TRUE","FALSE","(object, ...) ","MASS","2.6.0"
"anorexia","list","data.frame","FALSE","FALSE","NA","MASS","2.6.0"
"area","closure","function","TRUE","FALSE","(f, a, b, ..., fa = f(a, ...), fb = f(b, ...), limit = 10,     eps = 1e-05) ","MASS","2.6.0"
"as.fractions","closure","function","TRUE","FALSE","(x) ","MASS","2.6.0"
"bacteria","list","data.frame","FALSE","FALSE","NA","MASS","2.6.0"
"bandwidth.nrd","closure","function","TRUE","FALSE","(x) ","MASS","2.6.0"
"bcv","closure","function","TRUE","FALSE","(x, nb = 1000, lower = 0.1 * hmax, upper = hmax) ","MASS","2.6.0"
"beav1","list","data.frame","FALSE","FALSE","NA","MASS","2.6.0"
"beav2","list","data.frame","FALSE","FALSE","NA","MASS","2.6.0"
"biopsy","list","data.frame","FALSE","FALSE","NA","MASS","2.6.0"
"birthwt","list","data.frame","FALSE","FALSE","NA","MASS","2.6.0"
"boxcox","closure","function","TRUE","FALSE","(object, ...) ","MASS","2.6.0"
